person_id,name_cn,english_name_candidate,academy_memberships,first_domestic_academician_year,election_division,election_affiliation,official_homepage_url,verified_doi,verified_title,verified_journal,verified_year,verified_confidence,audit_status,candidate_doi,candidate_title,candidate_evidence,recommended_search_query
ACAD00170,刘云圻,Yunqi Liu,CAS,2015,化学部,中国科学院化学研究所,https://casad.cas.cn/ysxx2022/ysmd/hxb/201512/t20151224_4502116.html,10.1002/chem.200902755,"Synthesis, Structures, and Properties of Fused Thiophenes for Organic Field-Effect Transistors",Chemistry – A European Journal,2010,A,已核验/已有 DOI,,,,Yunqi Liu | 中国科学院化学研究所 | 化学部 | English journal DOI
ACAD00172,刘仓理,Cangli Liu,CAS,2021,数学物理学部,中国工程物理研究院,https://www.cas.cn/cm/202207/t20220718_4841845.shtml,10.3390/mi15091165,The Side-Release Method Measures the High-Pressure Sound Velocity of Iron,Micromachines,2024,A,已核验/已有 DOI,,,,Cangli Liu | 中国工程物理研究院 | 数学物理学部 | English journal DOI
ACAD00173,刘以训,Yixun Liu,CAS,1999,生命科学和医学学部,中国科学院动物研究所,https://casad.cas.cn/ysxx2022/ysmd/smkx/200906/t20090624_1803243.html,10.1095/biolreprod53.5.1131,Studies on the Role of Plasminogen Activators,Biology of Reproduction,1995,A,已核验/已有 DOI,,,,Yixun Liu | 中国科学院动物研究所 | 生命科学和医学学部 | English journal DOI
ACAD00176,刘允怡,Yunyi Liu,CAS,2003,生命科学和医学学部,香港中文大学,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1803240.html,10.3727/096504001108747530,Differential gene expression of hepatocellular carcinoma using cDNA microarray analysis,Oncology Research,2000,A,已核验/已有 DOI,,,,Yunyi Liu | 香港中文大学 | 生命科学和医学学部 | English journal DOI
ACAD00177,刘元方,Yuanfang Liu,CAS,1991,化学部,北京大学,https://casad.cas.cn/ysxx2022/ysmd/hxb/200906/t20090624_1802208.html,,,,,,待单人精确检索,,,,Yuanfang Liu | 北京大学 | 化学部 | English journal DOI
ACAD00186,刘嘉麒,Jiaqi Liu,CAS,2003,地学部,中国科学院地质与地球物理研究所,https://casad.cas.cn/ysxx2022/ysmd/dxb/200906/t20090624_1804375.html,10.1111/j.1440-1738.2012.00819.x,Geochemistry of Cenozoic volcanic rocks in Tengchong,Island Arc,2012,A,已核验/已有 DOI,,,,Jiaqi Liu | 中国科学院地质与地球物理研究所 | 地学部 | English journal DOI
ACAD00187,刘国治,Guozhi Liu,CAS,2009,信息技术科学部,中国核试验基地,https://casad.cas.cn/yszx/lcmd/,10.1017/S0022377809007909,Effects of diode current on high power microwave generation in a vircator,Journal of Plasma Physics,2009,A,已核验/已有 DOI,,,,Guozhi Liu | 中国核试验基地 | 信息技术科学部 | English journal DOI
ACAD00193,刘宝珺,Baojun Liu,CAS,1991,地学部,地质矿产部成都地质矿产研究所,https://casad.cas.cn/ysxx2022/ysmd/dxb/200906/t20090624_1804385.html,,,,,,待单人精确检索,,,,Baojun Liu | 地质矿产部成都地质矿产研究所 | 地学部 | English journal DOI
ACAD00195,刘宝镛,Baoyong Liu,CAS,2001,技术科学部,中国航天科技集团公司第一研究院,https://casad.cas.cn/ysxx2022/ysmd/jskx/200906/t20090624_1808310.html,,,,,,待单人精确检索,,,,Baoyong Liu | 中国航天科技集团公司第一研究院 | 技术科学部 | English journal DOI
ACAD00198,刘广均,Guangjun Liu,CAS,1991,技术科学部,中国理化工程研究院,https://casad.cas.cn/ysxx2022/ysmd/jskx/200906/t20090624_1808308.html,,,,,,待单人精确检索,,,,Guangjun Liu | 中国理化工程研究院 | 技术科学部 | English journal DOI
ACAD00201,刘应明,Yingming Liu,CAS,1995,数学物理学部,四川大学,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1792036.html,,,,,,待单人精确检索,,,,Yingming Liu | 四川大学 | 数学物理学部 | English journal DOI
ACAD00206,刘忠范,Zhongfan Liu,CAS,2011,化学部,北京大学,https://casad.cas.cn/ysxx2022/ysmd/hxb/201112/t20111213_3412359.html,10.1021/acs.nanolett.1c03344,"Hydrophilic, Clean Graphene for Cell Culture and Cryo-EM Imaging",Nano Letters,2021,A,已核验/已有 DOI,,,,Zhongfan Liu | 北京大学 | 化学部 | English journal DOI
ACAD00208,刘振兴,Zhenxing Liu,CAS,1995,地学部,中国科学院空间科学与应用研究中心,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1804371.html,10.5194/angeo-23-2707-2005,The Double Star mission,Annales Geophysicae,2005,A,已核验/已有 DOI,,,,Zhenxing Liu | 中国科学院空间科学与应用研究中心 | 地学部 | English journal DOI
ACAD00210,刘新垣,Xinyuan Liu,CAS,1991,生命科学和医学学部,中国科学院上海生物化学研究所,https://casad.cas.cn/ysxx2022/ysmd/smkx/200906/t20090624_1803246.html,10.1158/1078-0432.CCR-16-1386,A Potent In Vivo Antitumor Efficacy of Novel Recombinant Type I Interferon,Clinical Cancer Research,2017,A,已核验/已有 DOI,,,,Xinyuan Liu | 中国科学院上海生物化学研究所 | 生命科学和医学学部 | English journal DOI
ACAD00214,刘昌明,Changming Liu,CAS,1995,地学部,中国科学院地理研究所、石家庄农业现代化研究所,https://casad.cas.cn/ysxx2022/ysmd/dxb/200906/t20090624_1804382.html,10.1002/hyp.5524,Water problems and hydrological research in the Yellow River and the Huai and Hai River basins of China,Hydrological Processes,2004,A,已核验/已有 DOI,,,,Changming Liu | 中国科学院地理研究所、石家庄农业现代化研究所 | 地学部 | English journal DOI
